unique_id,model_label,model_name,partition,mae,coverage,width,n,perm_mae_top1_feature,perm_mae_top1,perm_dev_top1_feature,perm_dev_top1,shap_share_top1_feature,shap_share_top1
UNRATE,LGBM,LGBM,1990-1999,0.43486495006335796,0.7916666666666666,1.5610720068649206,120,INDPRO_lag12,1.0282904205923677,INDPRO_lag12,1.045273700890997,SP500_lag12,0.22302158273381212
UNRATE,LGBM,LGBM,2000-2008,0.5176395204667088,0.6296296296296297,1.2867019441480312,108,INDPRO_lag12,1.0282904205923677,INDPRO_lag12,1.045273700890997,SP500_lag12,0.22302158273381212
UNRATE,LGBM,LGBM,2009-2019,0.7292485122664465,0.803030303030303,2.4046501084801783,132,INDPRO_lag12,1.0282904205923677,INDPRO_lag12,1.045273700890997,SP500_lag12,0.22302158273381212
UNRATE,LGBM,LGBM,2020-end,1.7901253782662736,0.7647058823529411,6.739885273069566,68,INDPRO_lag12,1.0282904205923677,INDPRO_lag12,1.045273700890997,SP500_lag12,0.22302158273381212
UNRATE,LGBM,LGBM,ALL,0.7618649335497315,0.75,2.574809494579186,428,INDPRO_lag12,1.0282904205923677,INDPRO_lag12,1.045273700890997,SP500_lag12,0.22302158273381212
UNRATE,LR,LR,1990-1999,0.5085237721997362,0.725,1.7039138580752964,120,TB3MS_lag12,1.0251693143323037,TB3MS_lag12,1.0520067424608792,RPI_lag12,0.4750616492179451
UNRATE,LR,LR,2000-2008,0.5235076389967968,0.6296296296296297,1.3344179169773969,108,TB3MS_lag12,1.0251693143323037,TB3MS_lag12,1.0520067424608792,RPI_lag12,0.4750616492179451
UNRATE,LR,LR,2009-2019,0.6529289570329454,0.8106060606060606,2.452590589140468,132,TB3MS_lag12,1.0251693143323037,TB3MS_lag12,1.0520067424608792,RPI_lag12,0.4750616492179451
UNRATE,LR,LR,2020-end,2.149550122526779,0.7058823529411765,7.439272544025776,68,TB3MS_lag12,1.0251693143323037,TB3MS_lag12,1.0520067424608792,RPI_lag12,0.4750616492179451
UNRATE,LR,LR,ALL,0.8175647391023181,0.7242990654205608,2.752802076548806,428,TB3MS_lag12,1.0251693143323037,TB3MS_lag12,1.0520067424608792,RPI_lag12,0.4750616492179451
UNRATE,RIDGE,RIDGE,1990-1999,0.48328819880602764,0.7666666666666667,1.5988086332585347,120,TB3MS_lag12,1.0205017751321137,TB3MS_lag12,1.0379659694602015,SP500_lag12,0.29903570577529226
UNRATE,RIDGE,RIDGE,2000-2008,0.579624756698093,0.6574074074074074,1.405269754953092,108,TB3MS_lag12,1.0205017751321137,TB3MS_lag12,1.0379659694602015,SP500_lag12,0.29903570577529226
UNRATE,RIDGE,RIDGE,2009-2019,0.6400689919769663,0.8106060606060606,2.3127532152020995,132,TB3MS_lag12,1.0205017751321137,TB3MS_lag12,1.0379659694602015,SP500_lag12,0.29903570577529226
UNRATE,RIDGE,RIDGE,2020-end,2.0130005031074543,0.75,6.984154950343479,68,TB3MS_lag12,1.0205017751321137,TB3MS_lag12,1.0379659694602015,SP500_lag12,0.29903570577529226
UNRATE,RIDGE,RIDGE,ALL,0.798988782085009,0.75,2.6257760059719435,428,TB3MS_lag12,1.0205017751321137,TB3MS_lag12,1.0379659694602015,SP500_lag12,0.29903570577529226
