feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.4182218221998777,0.10479698983045356,12
RPI_lag12,0.16206529432284508,0.14036265344619697,12
INDPRO_lag12,0.12753643480194915,0.047003196105691064,12
SP500_lag12,0.09912899513185851,0.013600167592382278,12
BUSLOANS_lag12,0.07309665814089016,0.023854040246014684,12
CPIAUCSL_lag12,0.054907060222199856,0.04574882279952093,12
M2SL_lag12,0.032380110080572615,0.025227348530424177,12
USREC_lag12,0.024721458176914315,0.006874466814254766,12
TB3MS_lag12,0.004214556324759417,0.0004466368424746397,12
OILPRICEX_lag12,0.0037276105981332887,0.0009613581010193617,12
