feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.049523164646056,0.016846738055306617,7
BUSLOANS_lag12,1.009384482129699,0.0009231928161892956,7
OILPRICEX_lag12,1.0039965756389597,0.0033393752280027455,7
CPIAUCSL_lag12,1.0012385866570275,0.0022039859631410616,7
M2SL_lag12,0.9987421302167633,0.0016377858005576236,7
INDPRO_lag12,0.9845060110638985,0.009489090855664052,7
RPI_lag12,0.9827849736602726,0.028138722448821093,7
DPCERA3M086SBEA_lag12,0.9730463634390519,0.016434112558129887,7
USREC_lag12,0.944553571425463,0.02157420952488663,7
SP500_lag12,0.9317147977561901,0.027533381579930693,7
