feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.27562577611202366,0.08239203331729619,4
USREC_lag12,0.26307595388051375,0.18554119730681407,4
DPCERA3M086SBEA_lag12,0.12320188432564862,0.07861742047463609,4
INDPRO_lag12,0.11944831154954509,0.06337403496854928,4
RPI_lag12,0.08128655683459445,0.04809722597680688,4
BUSLOANS_lag12,0.054462478688087464,0.03218141187864821,4
TB3MS_lag12,0.03089937574789864,0.022433352178197193,4
UNRATE_lag12,0.025098427574445824,0.01965498318584068,4
OILPRICEX_lag12,0.01290757360448549,0.008314143797321653,4
CPIAUCSL_lag12,0.007526576310066497,0.006097088262087012,4
M2SL_lag12,0.006467085372690556,0.00771441246585796,4
