model_label,block,ds,tune_mae,hp__alpha,hp__subsample,hp__reg_lambda,hp__reg_alpha,hp__num_leaves,hp__n_estimators,hp__min_split_gain,hp__min_child_samples,hp__max_depth,hp__colsample_bytree
LGBM,1,1989-01-01,0.4954155976007638,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,2,1992-01-01,0.9082753608703796,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,3,1995-01-01,0.662571823491804,,0.4,1.0,2.0,40.0,20.0,0.0,5.0,15.0,0.2
LGBM,4,1998-01-01,0.20621615097204993,,0.4,0.1,2.0,40.0,40.0,0.05,5.0,2.0,0.7
LGBM,5,2001-01-01,0.10233380498061358,,1.0,0.1,2.0,10.0,10.0,0.0,5.0,3.0,0.6
LGBM,6,2004-01-01,0.19130938586903956,,0.4,1.0,2.0,40.0,20.0,0.0,5.0,15.0,0.2
LGBM,7,2007-01-01,0.3671232541785939,,1.0,20.0,10.0,2.0,30.0,0.0,15.0,1.0,0.5
LGBM,8,2010-01-01,2.015783944514952,,0.4,1.0,0.0,100.0,40.0,0.0,15.0,3.0,0.5
LGBM,9,2013-01-01,0.9310677828789216,,1.0,10.0,7.0,3.0,10.0,0.01,10.0,5.0,0.6
LGBM,10,2016-01-01,0.6338503099696179,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,11,2019-01-01,0.2525956742501742,,0.4,1.0,0.0,100.0,40.0,0.0,15.0,3.0,0.5
LGBM,12,2022-01-01,3.9116046341237265,,1.0,100.0,50.0,70.0,100.0,0.01,15.0,8.0,0.6
