model_label,hyperparam,n_points,n_unique,n_changes,change_rate,first_ds,last_ds,min,max,mean,median,std
LGBM,n_estimators,12,6,10,0.9090909090909091,1989-01-01,2022-01-01,10.0,100.0,44.583333333333336,40.0,28.464768672089285
LGBM,colsample_bytree,12,5,9,0.8181818181818182,1989-01-01,2022-01-01,0.2,1.0,0.6166666666666666,0.6,0.2640496586292477
LGBM,max_depth,12,6,9,0.8181818181818182,1989-01-01,2022-01-01,1.0,15.0,8.333333333333334,6.5,5.864204028586394
LGBM,num_leaves,12,7,9,0.8181818181818182,1989-01-01,2022-01-01,2.0,100.0,35.0,25.0,35.57620927904864
LGBM,subsample,12,3,9,0.8181818181818182,1989-01-01,2022-01-01,0.2,1.0,0.55,0.4,0.32787192621510003
LGBM,reg_lambda,12,5,8,0.7272727272727273,1989-01-01,2022-01-01,0.1,100.0,13.683333333333332,5.5,26.70395830001404
LGBM,reg_alpha,12,5,7,0.6363636363636364,1989-01-01,2022-01-01,0.0,50.0,8.75,4.5,13.058362582396514
LGBM,min_split_gain,12,3,6,0.5454545454545454,1989-01-01,2022-01-01,0.0,0.05,0.008333333333333333,0.005,0.01343709624716425
LGBM,min_child_samples,12,3,4,0.36363636363636365,1989-01-01,2022-01-01,5.0,15.0,10.0,10.0,4.08248290463863
RIDGE,alpha,12,8,11,1.0,1989-01-01,2022-01-01,0.0001,10000.0,835.3254831239866,1.3738237958832638,2763.2544783261296
