model_label,block,ds,tune_mae,hp__alpha,hp__subsample,hp__reg_lambda,hp__reg_alpha,hp__num_leaves,hp__n_estimators,hp__min_split_gain,hp__min_child_samples,hp__max_depth,hp__colsample_bytree
LGBM,1,1989-01-01,0.5829530395188766,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,2,1992-01-01,0.7922972750814932,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,3,1995-01-01,0.6602102258523903,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,4,1998-01-01,0.1886166146887939,,0.4,0.1,2.0,40.0,40.0,0.05,5.0,2.0,0.7
LGBM,5,2001-01-01,0.1114738625946851,,0.8,100.0,0.1,20.0,10.0,0.05,15.0,15.0,1.0
LGBM,6,2004-01-01,0.222150713440916,,0.1,100.0,1.0,100.0,10.0,0.0,5.0,-1.0,1.0
LGBM,7,2007-01-01,0.3538160844509623,,0.4,1.0,2.0,40.0,20.0,0.0,5.0,15.0,0.2
LGBM,8,2010-01-01,2.0582121992909403,,0.4,1.0,0.0,100.0,40.0,0.0,15.0,3.0,0.5
LGBM,9,2013-01-01,0.8057962581511272,,0.4,1.0,2.0,40.0,20.0,0.0,5.0,15.0,0.2
LGBM,10,2016-01-01,0.5139605382891264,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
LGBM,11,2019-01-01,0.2449652643258089,,0.4,0.1,2.0,40.0,40.0,0.05,5.0,2.0,0.7
LGBM,12,2022-01-01,3.686287200766482,,0.2,10.0,10.0,5.0,75.0,0.01,10.0,15.0,1.0
