unique_id,model_label,model_name,partition,mae,coverage,width,n,perm_mae_top1_feature,perm_mae_top1,perm_dev_top1_feature,perm_dev_top1,shap_share_top1_feature,shap_share_top1
UNRATE,LGBM,LGBM,1990-1999,0.43486495006335796,0.7916666666666666,1.5610720068649206,120,INDPRO_lag12,1.070522979308481,INDPRO_lag12,1.1354239565645525,INDPRO_lag12,0.1959162132334069
UNRATE,LGBM,LGBM,2000-2008,0.5176395204667088,0.6296296296296297,1.2867019441480312,108,OILPRICEX_lag12,1.0042702271271642,OILPRICEX_lag12,1.001853499603849,INDPRO_lag12,0.19918813565616958
UNRATE,LGBM,LGBM,2009-2019,0.7292485122664465,0.803030303030303,2.4046501084801783,132,USREC_lag12,1.035780416071838,RPI_lag12,1.0134242608297586,SP500_lag12,0.20387279735671024
UNRATE,LGBM,LGBM,2020-end,1.7901253782662736,0.7647058823529411,6.739885273069566,68,INDPRO_lag12,1.004724459769264,CPIAUCSL_lag12,1.0,SP500_lag12,0.2054685294714688
UNRATE,LGBM,LGBM,ALL,0.7618649335497315,0.75,2.574809494579186,428,INDPRO_lag12,1.0288245205691868,INDPRO_lag12,1.03767542924954,INDPRO_lag12,0.20111141892943887
UNRATE,LR,LR,1990-1999,0.5085237721997362,0.725,1.7039138580752964,120,TB3MS_lag12,1.0271031710043432,TB3MS_lag12,1.0676568787677108,DPCERA3M086SBEA_lag12,0.364294677096904
UNRATE,LR,LR,2000-2008,0.5235076389967968,0.6296296296296297,1.3344179169773969,108,TB3MS_lag12,1.0732876377661098,TB3MS_lag12,1.1307485927905863,DPCERA3M086SBEA_lag12,0.4055020831234063
UNRATE,LR,LR,2009-2019,0.6529289570329454,0.8106060606060606,2.452590589140468,132,USREC_lag12,1.1011693719966194,TB3MS_lag12,1.0196427739277547,DPCERA3M086SBEA_lag12,0.4427824323336338
UNRATE,LR,LR,2020-end,2.149550122526779,0.7058823529411765,7.439272544025776,68,INDPRO_lag12,1.024878429475039,INDPRO_lag12,1.028042258416878,DPCERA3M086SBEA_lag12,0.4182218221998777
UNRATE,LR,LR,ALL,0.8175647391023181,0.7242990654205608,2.752802076548806,428,TB3MS_lag12,1.0566096525605277,TB3MS_lag12,1.0615226259757324,DPCERA3M086SBEA_lag12,0.4077002536884554
UNRATE,RIDGE,RIDGE,1990-1999,0.48328819880602764,0.7666666666666667,1.5988086332585347,120,TB3MS_lag12,1.0321109000055173,TB3MS_lag12,1.064543773398281,SP500_lag12,0.35357758430692615
UNRATE,RIDGE,RIDGE,2000-2008,0.579624756698093,0.6574074074074074,1.405269754953092,108,USREC_lag12,1.022673562598703,USREC_lag12,1.0536752706044639,SP500_lag12,0.32619798044192116
UNRATE,RIDGE,RIDGE,2009-2019,0.6400689919769663,0.8106060606060606,2.3127532152020995,132,USREC_lag12,1.1594069398649827,USREC_lag12,1.2219654031865996,SP500_lag12,0.32349583333218557
UNRATE,RIDGE,RIDGE,2020-end,2.0130005031074543,0.75,6.984154950343479,68,TB3MS_lag12,1.0043840056563615,TB3MS_lag12,1.00596463001642,SP500_lag12,0.321457489369114
UNRATE,RIDGE,RIDGE,ALL,0.798988782085009,0.75,2.6257760059719435,428,TB3MS_lag12,1.0546438520313912,TB3MS_lag12,1.086537269301441,SP500_lag12,0.3311822218625367
