feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0207577263335603,0.00633532017429776,11
INDPRO_lag12,1.006238187325557,0.007989444919626432,11
OILPRICEX_lag12,1.0038550321026802,0.0024191893229922965,11
BUSLOANS_lag12,1.0034607734335952,0.002962315868183179,11
CPIAUCSL_lag12,0.9995186135009032,0.0008242623874140106,11
M2SL_lag12,0.9992289677961218,0.0015298701723944806,11
DPCERA3M086SBEA_lag12,0.9939806767873985,0.016106457402903764,11
RPI_lag12,0.9884180641326995,0.01859749233647874,11
SP500_lag12,0.9556412824284171,0.023966425938258713,11
USREC_lag12,0.9531031772651424,0.04791090196651372,11
