feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag24,0.4816067786060031,0.2901548569588387,4
USREC_lag24,0.2384552731839108,0.1504096814192123,4
DPCERA3M086SBEA_lag24,0.0926228100389933,0.1518410178086504,4
RPI_lag24,0.0702432865784034,0.1150277235162705,4
CPIAUCSL_lag24,0.037684036955257,0.0615914443373357,4
INDPRO_lag24,0.027912260411112,0.0416947569858188,4
BUSLOANS_lag24,0.0234984103186217,0.0278302810749639,4
SP500_lag24,0.0176918283760298,0.0103084557351571,4
M2SL_lag24,0.0078640466986373,0.0102942352397166,4
OILPRICEX_lag24,0.0024212688330311,0.001895082406827,4
