feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag24,0.36681280820598977,0.05077296529205764,12
RPI_lag24,0.28560857535707745,0.04278390958162402,12
CPIAUCSL_lag24,0.14021191012715864,0.03675171468270893,12
INDPRO_lag24,0.08582882867554549,0.029434211862424776,12
BUSLOANS_lag24,0.0808991868400219,0.019754680963814355,12
M2SL_lag24,0.015493478321678767,0.021289376138869096,12
USREC_lag24,0.009797964467645507,0.0017157782322651278,12
SP500_lag24,0.008678193115754676,0.005432687684300489,12
TB3MS_lag24,0.005079860433385404,0.0006952738870829885,12
OILPRICEX_lag24,0.0015891944557424622,0.0006975130063494001,12
