feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.117069179226338,0.0193179491353009,2
USREC_lag24,1.0976177411616996,0.0448468465548949,2
RPI_lag24,1.0826277106203048,0.0225869542622171,2
BUSLOANS_lag24,1.0099466731532816,0.0132410349284772,2
SP500_lag24,1.0087711885829287,0.0043372410286782,2
CPIAUCSL_lag24,1.0002549257206232,0.0043931885452377,2
OILPRICEX_lag24,1.0000758360336084,0.0020197257802572,2
M2SL_lag24,1.0000126063964372,0.0003803079316405,2
INDPRO_lag24,0.9791371494220896,0.0037989258707852,2
DPCERA3M086SBEA_lag24,0.9668734874304598,0.0104709830599205,2
