feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag24,0.3561797673503267,0.0135128428676868,4
RPI_lag24,0.2641989999287304,0.0136210103399022,4
CPIAUCSL_lag24,0.149992804821147,0.0141944915358636,4
BUSLOANS_lag24,0.0867768337431613,0.011819480889155,4
INDPRO_lag24,0.0823203489036845,0.0130878164584329,4
M2SL_lag24,0.0289089048480521,0.0297883990429675,4
SP500_lag24,0.0149178114450968,0.0014281950562511,4
USREC_lag24,0.0105426989845095,0.0010447603696099,4
TB3MS_lag24,0.0044559976807671,0.0005589779444153,4
OILPRICEX_lag24,0.0017058322945242,0.0003679953316967,4
