feature,shap_share_mean,shap_share_std
BUSLOANS_lag24,0.015180367111732717,0.02389470949831859
CPIAUCSL_lag24,0.02273671412748337,0.04794224552868283
DPCERA3M086SBEA_lag24,0.06334363000759527,0.13415641615666915
INDPRO_lag24,0.018270689620376555,0.032205051970995324
M2SL_lag24,0.005230838057697125,0.0080429895027362
OILPRICEX_lag24,0.003775567515911922,0.0029621183878955366
RPI_lag24,0.048827257262329095,0.10102139294622675
SP500_lag24,0.011287116829762987,0.010124828658483503
TB3MS_lag24,0.5910857689015754,0.265048818683144
USREC_lag24,0.2202620505655356,0.11692443589253276
