feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.000609880230568,0.0003506429855213,3
USREC_lag24,1.0001961796790588,0.0001277435728232,3
OILPRICEX_lag24,1.000002134204583,1.3741639554549415e-06,3
INDPRO_lag24,1.0000003049427555,1.580077505623082e-07,3
CPIAUCSL_lag24,1.000000057336124,1.7118476902945325e-08,3
RPI_lag24,1.0000000445462638,3.572345468095595e-08,3
BUSLOANS_lag24,1.000000016005736,9.561154607545318e-09,3
M2SL_lag24,0.99999999385005,6.013643317797417e-09,3
DPCERA3M086SBEA_lag24,0.9999999919983116,8.591092149679877e-09,3
SP500_lag24,0.9999999761185586,5.983463126291437e-08,3
