feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag24,0.6647770984761329,0.2240492349590472,11
USREC_lag24,0.2183049456058727,0.0935963341454234,11
DPCERA3M086SBEA_lag24,0.0344542331808221,0.1015771523940011,11
RPI_lag24,0.0276019449705555,0.0764900409418283,11
CPIAUCSL_lag24,0.0149018307099999,0.0409397642267451,11
INDPRO_lag24,0.0136447592453931,0.027370720436521,11
BUSLOANS_lag24,0.0093688908766492,0.0199174451277762,11
SP500_lag24,0.007845900060069,0.0098091956868371,11
OILPRICEX_lag24,0.0051978011375978,0.0042768124518359,11
M2SL_lag24,0.0039025957369074,0.00689265638369,11
