feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag24,0.3537043972637193,0.2905872188099813,7
BUSLOANS_lag24,0.1021327054377902,0.0699812299210253,7
INDPRO_lag24,0.0869101724186469,0.0408653381135726,7
RPI_lag24,0.0859854937821039,0.0451263134449795,7
DPCERA3M086SBEA_lag24,0.075120345713566,0.0501001815321998,7
USREC_lag24,0.0705777410862156,0.0630852824026165,7
OILPRICEX_lag24,0.0687722915689017,0.044997769630605,7
CPIAUCSL_lag24,0.065771796195525,0.0433970604090886,7
SP500_lag24,0.0550645504882793,0.0360335061329871,7
M2SL_lag24,0.0359605060452518,0.0409303722485718,7
