feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.37972816946736115,0.20101629242680075,4
SP500_lag12,0.2756953826027221,0.07212440317740167,4
DPCERA3M086SBEA_lag12,0.1050068234852931,0.11306268388031492,4
INDPRO_lag12,0.07611950423212308,0.06669364778018103,4
RPI_lag12,0.057767288040908915,0.059941437608498425,4
TB3MS_lag12,0.054310884690286304,0.029267570292269795,4
BUSLOANS_lag12,0.032250146181070055,0.03240519316039431,4
OILPRICEX_lag12,0.010710442615482048,0.004176962580891751,4
CPIAUCSL_lag12,0.005402478005675953,0.006332966915900803,4
M2SL_lag12,0.003008880679077331,0.0014409505840999664,4
