feature,ratio_mean,ratio_std,n_windows
INDPRO_lag6,1.031456787105369,0.012790630309258482,3
USREC_lag6,1.0284699937760102,0.007114405761604566,3
UNRATE_lag6,1.0193629043748207,0.008678483907316062,3
SP500_lag6,1.0108458505491356,0.0009986238769685491,3
TB3MS_lag6,1.0071539192085988,0.003852386719838825,3
BUSLOANS_lag6,1.0064627418352865,0.004702584746839338,3
RPI_lag6,1.0040691926266303,0.002328777318509143,3
OILPRICEX_lag6,0.9999484201017187,0.00014880945771552379,3
CPIAUCSL_lag6,0.9998717959901163,0.0017173605215704312,3
M2SL_lag6,0.9995068181504309,5.6295784551752905e-05,3
DPCERA3M086SBEA_lag6,0.9951621475936987,0.005991739588375582,3
