feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.39586890207290365,0.06051613084936295,8
RPI_lag12,0.2053600103806907,0.09239686374299988,8
INDPRO_lag12,0.10578777022689853,0.05034609842334251,8
SP500_lag12,0.09408765653059761,0.006907759537346628,8
CPIAUCSL_lag12,0.07939633210423047,0.03190308567203475,8
BUSLOANS_lag12,0.0600797187617773,0.02098375906422518,8
M2SL_lag12,0.032479758987096395,0.03016247290601718,8
USREC_lag12,0.019540168319192686,0.002297326131141309,8
TB3MS_lag12,0.004127964090491536,0.00046876785660759506,8
OILPRICEX_lag12,0.003271718526121111,0.0005145458803257009,8
