feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.34069339372266144,0.1841920233288724,7
SP500_lag12,0.2765237955033487,0.09953897140267132,7
INDPRO_lag12,0.09136362948951372,0.06016926477623201,7
DPCERA3M086SBEA_lag12,0.08949999559588726,0.07257321929766421,7
RPI_lag12,0.05758652882395419,0.046189982260263704,7
TB3MS_lag12,0.042115792589823085,0.027305976231175234,7
BUSLOANS_lag12,0.0415810533819876,0.030573067488340436,7
UNRATE_lag12,0.0408113670571699,0.040373315960393445,7
OILPRICEX_lag12,0.010479755178405761,0.007258317764513776,7
CPIAUCSL_lag12,0.004802729344753236,0.005589078776932923,7
M2SL_lag12,0.00454195931249507,0.006288572946013825,7
