feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.30662666791957194,0.03171238477512964,12
DPCERA3M086SBEA_lag6,0.17561876642063792,0.034525470498677345,12
M2SL_lag6,0.1632508226229301,0.0651566888505138,12
BUSLOANS_lag6,0.12488158620638662,0.03037059166911923,12
CPIAUCSL_lag6,0.10235223389973397,0.021124491547823497,12
RPI_lag6,0.04927109994530462,0.021994803896729025,12
SP500_lag6,0.039794576228324365,0.005103169311573764,12
USREC_lag6,0.024555206470304767,0.0027825632503062996,12
UNRATE_lag6,0.007602612843867019,0.001632325147260771,12
OILPRICEX_lag6,0.003482482196889295,0.0023452934681820895,12
TB3MS_lag6,0.0025639452460493885,0.00028464755349929047,12
