feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.3052128612584455,0.02636585900559245,7
M2SL_lag6,0.19458545031536414,0.03917443837993973,7
CPIAUCSL_lag6,0.13349571925793965,0.021057067834369142,7
DPCERA3M086SBEA_lag6,0.12824655882323416,0.02067625936216649,7
BUSLOANS_lag6,0.12388616979524883,0.003715258067921582,7
RPI_lag6,0.07030441425529856,0.03088140019588503,7
USREC_lag6,0.0283942952111029,0.0011356474457982712,7
SP500_lag6,0.010766527093861245,0.0021208262231866416,7
OILPRICEX_lag6,0.0027385903724256554,0.002338639341910763,7
TB3MS_lag6,0.002369413617079392,0.00028881671237336473,7
