feature,ratio_mean,ratio_std,n_windows
TB3MS_lag6,1.0316110152210411,0.0007313962704510457,2
RPI_lag6,1.0158845625493567,0.002064799866834499,2
M2SL_lag6,1.0036693593384594,0.0031684701759261413,2
CPIAUCSL_lag6,1.0003686594055874,0.006585000987884004,2
OILPRICEX_lag6,0.9989559765768123,0.0012497209436071466,2
SP500_lag6,0.9947029436206867,6.483517655525572e-05,2
BUSLOANS_lag6,0.9882807558256557,0.004939969194530935,2
DPCERA3M086SBEA_lag6,0.9830505063136579,0.004166706406804999,2
INDPRO_lag6,0.9536532727178337,0.008941443117049253,2
UNRATE_lag6,0.9240122487154481,0.03861450081629303,2
USREC_lag6,0.8889184466801718,0.029414383480123374,2
