feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.2827862948589437,0.013849766903306682,7
M2SL_lag6,0.20654422090314353,0.04640383453120467,7
DPCERA3M086SBEA_lag6,0.18179666747800308,0.01331455002146577,7
BUSLOANS_lag6,0.11292478596969364,0.00478037790701952,7
CPIAUCSL_lag6,0.09447280188723395,0.020876631075620444,7
RPI_lag6,0.048619274121244935,0.027105846068335986,7
SP500_lag6,0.036516856058085204,0.001951512339047403,7
USREC_lag6,0.02287772073831396,0.0015780628889180848,7
UNRATE_lag6,0.006934420147922141,0.000396613042607069,7
OILPRICEX_lag6,0.0039237518511749244,0.002311283397872975,7
TB3MS_lag6,0.0026032059862408706,0.0002421589647296544,7
