feature,ratio_mean,ratio_std,n_windows
BUSLOANS_lag12,1.0061027053754859,0.010139735210340839,2
M2SL_lag12,1.0023214684393906,0.0019851432936567326,2
CPIAUCSL_lag12,0.9992564880663403,0.00021826567843907796,2
TB3MS_lag12,0.9990470437685695,0.0021571305008774577,2
OILPRICEX_lag12,0.9967091260041785,0.000981638947717911,2
RPI_lag12,0.9890305101398675,0.009711928399438463,2
INDPRO_lag12,0.9534659919186922,0.05109935364296614,2
SP500_lag12,0.9495787025040758,0.03794059231489222,2
USREC_lag12,0.9440304925355456,0.02800291637245772,2
DPCERA3M086SBEA_lag12,0.9167714851467343,0.04600277383663193,2
