feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag1,0.6450296469260088,0.09065632819901936,11
INDPRO_lag1,0.11567656922727142,0.043204428224910135,11
TB3MS_lag1,0.07236113496967624,0.02239316512363476,11
USREC_lag1,0.047779292682858056,0.026699410066821968,11
RPI_lag1,0.034900045595076506,0.01703680175512123,11
SP500_lag1,0.022012285996960326,0.025492745280090705,11
DPCERA3M086SBEA_lag1,0.013568657769530607,0.018469575002502448,11
CPIAUCSL_lag1,0.013523341747839306,0.01955497013456128,11
M2SL_lag1,0.012502588939370547,0.01621977208815477,11
OILPRICEX_lag1,0.011403346478784167,0.011626549415108971,11
BUSLOANS_lag1,0.011243089666623901,0.014254269862121496,11
