feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.37086395964720975,0.04992254555863298,4
RPI_lag12,0.2530511220094793,0.05967751929781432,4
CPIAUCSL_lag12,0.10371636449113639,0.020645393332087154,4
SP500_lag12,0.08997320680375871,0.0060073642328614405,4
INDPRO_lag12,0.07779946565986776,0.02494576865989646,4
BUSLOANS_lag12,0.05058836807839453,0.010045448914845663,4
M2SL_lag12,0.027457970305416544,0.02338472399690802,4
USREC_lag12,0.019204688231337225,0.002431892534951138,4
TB3MS_lag12,0.0040093667620132376,0.000288336045672474,4
OILPRICEX_lag12,0.0033354880113865633,0.0007393431927200132,4
