feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.41839149105472956,0.08065894566923013,12
RPI_lag12,0.15062530367724106,0.09407961888487405,12
INDPRO_lag12,0.13431942725534002,0.056669544130395606,12
SP500_lag12,0.09841447299411737,0.01241268303782405,12
BUSLOANS_lag12,0.07780526355905502,0.0333049443077895,12
CPIAUCSL_lag12,0.05737820059929774,0.04168188031491432,12
M2SL_lag12,0.03229771947798987,0.027571526636506048,12
USREC_lag12,0.023063521548006855,0.0066257544778125675,12
TB3MS_lag12,0.004083210490101079,0.0004309772634430346,12
OILPRICEX_lag12,0.003621389344121565,0.0011473854115489793,12
