feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.357841726267428,0.2563270242199459,11
SP500_lag12,0.2518134511137234,0.1231783732009796,11
DPCERA3M086SBEA_lag12,0.1367733013091264,0.15951943623399073,11
INDPRO_lag12,0.08811548232102377,0.06775045043123298,11
RPI_lag12,0.04893319748500346,0.04412755369360147,11
TB3MS_lag12,0.04531693050436993,0.048300133675006844,11
BUSLOANS_lag12,0.040576167205706955,0.0349079638338356,11
OILPRICEX_lag12,0.015857291572450784,0.012372311295929294,11
CPIAUCSL_lag12,0.01022207911411491,0.019708354321449635,11
M2SL_lag12,0.0045503731070524025,0.006997571442804937,11
