feature,shap_share_mean,shap_share_std,n_windows
USREC_lag1,0.4273538439132105,0.18871334418895166,7
SP500_lag1,0.21622717133769756,0.111516557611479,7
INDPRO_lag1,0.11556488444108173,0.0972809551171787,7
TB3MS_lag1,0.10153890496331351,0.16548954714592704,7
BUSLOANS_lag1,0.04682925173222784,0.04233913882754677,7
RPI_lag1,0.046451004169499654,0.05019928944621328,7
M2SL_lag1,0.013799002199726695,0.011119843078018025,7
DPCERA3M086SBEA_lag1,0.011076822785031498,0.008238618413915225,7
CPIAUCSL_lag1,0.010768724861013048,0.009839382818286101,7
OILPRICEX_lag1,0.010390389597198017,0.007818895964337267,7
