feature,shap_share_mean,shap_share_std,n_windows
USREC_lag1,0.3870386857568482,0.22042693012730674,4
SP500_lag1,0.25439075131228317,0.0860327269808055,4
INDPRO_lag1,0.14898404624584688,0.11066734538054977,4
BUSLOANS_lag1,0.06303175737794729,0.047559840574043256,4
RPI_lag1,0.061736877447274706,0.05977990949593382,4
TB3MS_lag1,0.027930293690663112,0.02667930521161517,4
M2SL_lag1,0.019442660359006443,0.011507525623569426,4
CPIAUCSL_lag1,0.015178188724945129,0.010897473153251899,4
DPCERA3M086SBEA_lag1,0.012763787306244605,0.010005603517724003,4
OILPRICEX_lag1,0.009502951778940514,0.005122958655956557,4
