feature,ratio_mean,ratio_std,n_windows
USREC_lag12,1.0240584243508524,0.029715406984468864,3
TB3MS_lag12,1.0230097603900534,0.016594028061535343,3
OILPRICEX_lag12,1.0001348110402313,0.0002590460644585649,3
INDPRO_lag12,1.00007156639559,5.41034111149793e-05,3
DPCERA3M086SBEA_lag12,1.0000238834046564,2.648791806187028e-05,3
CPIAUCSL_lag12,1.000000827623391,1.0592391860485462e-06,3
M2SL_lag12,0.9999980837130154,1.969713617202714e-06,3
BUSLOANS_lag12,0.9999851705369492,2.9968167480206564e-05,3
RPI_lag12,0.9999179189479378,0.00010944102257940206,3
SP500_lag12,0.9928175688496603,0.007737641202393201,3
