feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.4662369668087095,0.1489881752474377,4
SP500_lag12,0.3003357474031956,0.13924528930594338,4
TB3MS_lag12,0.09256613932202654,0.06482925462503569,4
DPCERA3M086SBEA_lag12,0.04416603584440777,0.02378103896183147,4
INDPRO_lag12,0.04123706205641154,0.015573285743007466,4
RPI_lag12,0.026454672354627215,0.014074534576147452,4
BUSLOANS_lag12,0.015773432254707433,0.011747373640987732,4
OILPRICEX_lag12,0.0091663243541455,0.0032207689214599727,4
M2SL_lag12,0.0028812010293629902,0.001740593560350251,4
CPIAUCSL_lag12,0.0011824185724058243,0.0002951606144344652,4
