feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag24,0.37048827829589054,0.054072806093720414,12
RPI_lag24,0.26061546700338817,0.049941392657512546,12
CPIAUCSL_lag24,0.1337051385610252,0.03444565186773161,12
INDPRO_lag24,0.10039107708791238,0.03617709247380276,12
BUSLOANS_lag24,0.0892210723029717,0.02086783322582858,12
M2SL_lag24,0.016176116729918043,0.020764106594491842,12
SP500_lag24,0.012866022146252465,0.007705463983796865,12
USREC_lag24,0.008127864600970649,0.0015729944124045568,12
TB3MS_lag24,0.005225148784469043,0.0006874944161694869,12
UNRATE_lag24,0.001719181851799865,0.000609136690832651,12
OILPRICEX_lag24,0.0014646326354020125,0.0007460330858839631,12
