feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.41612678648189855,0.18146290340360724,7
SP500_lag12,0.28756352559636034,0.10711380778212909,7
DPCERA3M086SBEA_lag12,0.0773596366966813,0.09201408182554177,7
TB3MS_lag12,0.0693332471500969,0.04977880496821422,7
INDPRO_lag12,0.06359723259049103,0.05366076950391079,7
RPI_lag12,0.0424086827696512,0.04898334902689223,7
BUSLOANS_lag12,0.026771018247448587,0.02656754166113108,7
OILPRICEX_lag12,0.010020538569275447,0.0035479435959434617,7
CPIAUCSL_lag12,0.004159506343616711,0.005063015992877702,7
M2SL_lag12,0.0026598255544799396,0.0013391639252389913,7
