feature,shap_share_mean,shap_share_std,n_windows
RPI_lag1,0.3567173378198619,0.038730368483669224,7
INDPRO_lag1,0.24290615537400773,0.03817282856634068,7
BUSLOANS_lag1,0.09014423535894216,0.015312600166322443,7
DPCERA3M086SBEA_lag1,0.07872017850570111,0.01642312254755175,7
CPIAUCSL_lag1,0.07721664899306056,0.021167210085816405,7
SP500_lag1,0.07711246057863039,0.014742136750387791,7
M2SL_lag1,0.041766912196053656,0.03855143327896734,7
USREC_lag1,0.031768753451180985,0.0037944393313671114,7
OILPRICEX_lag1,0.00292732777369821,0.000805897053697945,7
TB3MS_lag1,0.0007199899488632607,0.00041335917064999606,7
