feature,shap_share_mean,shap_share_std,n_windows
RPI_lag1,0.37795931312266134,0.04318216385761263,11
INDPRO_lag1,0.2277847364344843,0.03716796116250013,11
BUSLOANS_lag1,0.09705095082637216,0.016588157347780217,11
CPIAUCSL_lag1,0.0895054789821943,0.024245717967349395,11
SP500_lag1,0.06706495382863116,0.017788985272913983,11
DPCERA3M086SBEA_lag1,0.0630393702920614,0.02768395729576503,11
M2SL_lag1,0.043334029979669904,0.03182795317040395,11
USREC_lag1,0.030933085948833868,0.004438113374916634,11
OILPRICEX_lag1,0.0028433271221812166,0.0007064703350372494,11
TB3MS_lag1,0.0004847534629103993,0.00045417124010498896,11
