feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.3729747752394452,0.1226773526060466,12
RPI_lag12,0.18438319919255872,0.13784659929614365,12
INDPRO_lag12,0.14480692897546912,0.04490847879245548,12
SP500_lag12,0.0848252856228669,0.019181724440922233,12
BUSLOANS_lag12,0.08139934338624046,0.025807081723394475,12
CPIAUCSL_lag12,0.06618207473884534,0.04665324214198868,12
M2SL_lag12,0.028895126302486817,0.021448260152589858,12
USREC_lag12,0.026768083630796597,0.007188547563186842,12
TB3MS_lag12,0.003950186428699481,0.00045996393319634374,12
OILPRICEX_lag12,0.003039095318718113,0.0010636737398955556,12
UNRATE_lag12,0.002775901163873299,0.0016163669215093746,12
