feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.44999973193877757,0.0713490714258912,11
INDPRO_lag12,0.1300557731421875,0.04508062750583951,11
RPI_lag12,0.12943565573413307,0.10815041555291872,11
SP500_lag12,0.10145107860347422,0.014330166221963503,11
BUSLOANS_lag12,0.07526229883169527,0.024102174948082204,11
CPIAUCSL_lag12,0.05851567930651032,0.04254644781552738,11
USREC_lag12,0.025207953589681132,0.0074572443957856725,11
M2SL_lag12,0.02194553410517592,0.01904521166930764,11
TB3MS_lag12,0.004341838661484691,0.00041395684626223964,11
OILPRICEX_lag12,0.0037844560868802867,0.0009422919052596975,11
