feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.33928738227915917,0.19387115277077635,5
SP500_lag12,0.313038498743677,0.12837954685321004,5
DPCERA3M086SBEA_lag12,0.10699987463541707,0.1109664012804105,5
RPI_lag12,0.08018762811116883,0.10121871778633132,5
INDPRO_lag12,0.05045616846281394,0.012518899407005731,5
TB3MS_lag12,0.04705106607037899,0.028025197708322045,5
BUSLOANS_lag12,0.02363526155787702,0.01067546220426124,5
M2SL_lag12,0.019682848174614402,0.03315821952007823,5
CPIAUCSL_lag12,0.011042834369367528,0.018724454353659513,5
OILPRICEX_lag12,0.00861843759552603,0.004006557005314041,5
