feature,ratio_mean,ratio_std,n_windows
UNRATE_lag24,1.1369090185881225,0.09925831379341002,3
CPIAUCSL_lag24,1.0603089503195966,0.03543796589487389,3
TB3MS_lag24,1.015176359596854,0.01196375451542252,3
USREC_lag24,1.007143310738526,0.00957078385759104,3
OILPRICEX_lag24,1.0036646895196768,0.004919804140684311,3
M2SL_lag24,0.999998164504918,0.001610997108776317,3
SP500_lag24,0.9985715567849448,0.0011193298527179237,3
RPI_lag24,0.9981407821926069,0.006364310100543324,3
DPCERA3M086SBEA_lag24,0.99620091496566,0.01083883262785962,3
INDPRO_lag24,0.9941856122726082,0.01410601435779808,3
BUSLOANS_lag24,0.9863662137436142,0.013474990724975941,3
