feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.3490127495692984,0.044185004960176244,4
RPI_lag12,0.26545509521454747,0.04329198798213787,4
CPIAUCSL_lag12,0.10447579505212967,0.020707431527317476,4
SP500_lag12,0.0919260759440553,0.008985021029492706,4
INDPRO_lag12,0.06685217041429839,0.02478138391943916,4
M2SL_lag12,0.050263360634499266,0.038405001926738944,4
BUSLOANS_lag12,0.046435228201287884,0.006575810321729991,4
USREC_lag12,0.01799057867740106,0.00147285895533219,4
OILPRICEX_lag12,0.0037979826596902713,0.0010815523965724324,4
TB3MS_lag12,0.003790963632792339,0.00022290008782490146,4
