feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.39629511295580483,0.23251726457880595,12
SP500_lag12,0.2825157811757179,0.13003913309110204,12
DPCERA3M086SBEA_lag12,0.09228956876702732,0.11264474021131203,12
INDPRO_lag12,0.07775400122283246,0.06302685291212026,12
TB3MS_lag12,0.05566408625331904,0.057638854351330995,12
RPI_lag12,0.03987369764808391,0.03685368378029658,12
BUSLOANS_lag12,0.037437544800580584,0.03476647747063054,12
OILPRICEX_lag12,0.011781434912370561,0.0082133650837792,12
M2SL_lag12,0.004102195951771698,0.0044846055403908415,12
CPIAUCSL_lag12,0.002286576312491721,0.0017082164993738058,12
