feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.26083097447693304,0.0887808015645097,11
INDPRO_lag12,0.17110368445931226,0.06747867349841766,11
DPCERA3M086SBEA_lag12,0.15829253025558795,0.07988435749511937,11
USREC_lag12,0.1457792196938425,0.16056939114705288,11
TB3MS_lag12,0.0807585666954061,0.06535037536447527,11
BUSLOANS_lag12,0.05520543823392116,0.05208774938234541,11
RPI_lag12,0.04309856468349537,0.03308123075472855,11
OILPRICEX_lag12,0.035809101362726824,0.04124059754038501,11
M2SL_lag12,0.027758946518833025,0.03224734363397249,11
CPIAUCSL_lag12,0.021362973619941744,0.02624683804610719,11
