feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag24,0.34367552419118846,0.02601084951493454,7
RPI_lag24,0.2466562111931395,0.020022814866478618,7
CPIAUCSL_lag24,0.14836441145412912,0.010741935680140468,7
INDPRO_lag24,0.1074802510317463,0.020229631940259743,7
BUSLOANS_lag24,0.10196198690772637,0.012270371498707836,7
M2SL_lag24,0.017843543582097603,0.025460565031228868,7
SP500_lag24,0.017331883384993828,0.005872393414682611,7
USREC_lag24,0.008407002962376234,0.0013512686039693772,7
TB3MS_lag24,0.0051311903218718025,0.0007113440050626757,7
UNRATE_lag24,0.0016332143395547678,0.00038107269044626216,7
OILPRICEX_lag24,0.001514780631176029,0.0005312705728592238,7
