feature,shap_share_mean,shap_share_std,n_windows
USREC_lag36,0.35858090189518754,0.22418416154749018,4
TB3MS_lag36,0.1781908352506253,0.17797586449046857,4
CPIAUCSL_lag36,0.11996672487451993,0.16183844853984125,4
RPI_lag36,0.0898342832839225,0.10831688101929333,4
BUSLOANS_lag36,0.05906853701657483,0.05985019710027176,4
OILPRICEX_lag36,0.04103584684629158,0.03655702011848289,4
INDPRO_lag36,0.04084325338879518,0.028840653888186314,4
SP500_lag36,0.04081949696681388,0.047506148032470566,4
M2SL_lag36,0.0362007330364993,0.053628154676292124,4
DPCERA3M086SBEA_lag36,0.035459387440769916,0.02918182959113997,4
