feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.435021507790409,0.07488583945135915,12
RPI_lag12,0.14243868176884183,0.11687007244924588,12
INDPRO_lag12,0.12325487936292329,0.04896163509943197,12
SP500_lag12,0.10226587822226745,0.014119012893457563,12
BUSLOANS_lag12,0.07317581094277971,0.02752400282149822,12
CPIAUCSL_lag12,0.059160208778268004,0.03993041660661888,12
M2SL_lag12,0.03211786793298607,0.026424182553707227,12
USREC_lag12,0.024555591264569063,0.008108792539489984,12
TB3MS_lag12,0.004246346961528991,0.0004875158642898418,12
OILPRICEX_lag12,0.003763226975426606,0.000876356847628538,12
