feature,ratio_mean,ratio_std,n_windows
M2SL_lag12,1.0139467518580931,0.014823662644675217,2
BUSLOANS_lag12,1.008610687406215,0.0007557289966779734,2
CPIAUCSL_lag12,1.0062580271232244,0.00568144895775291,2
TB3MS_lag12,1.0017745882726092,0.003925232935738432,2
RPI_lag12,0.9950151934317191,0.004812666593364268,2
OILPRICEX_lag12,0.9922686694454224,0.006356719291984114,2
INDPRO_lag12,0.9763045462567378,0.017767343742836728,2
USREC_lag12,0.96520622657288,0.03205777851911873,2
SP500_lag12,0.9252312257330692,0.023129121388064555,2
DPCERA3M086SBEA_lag12,0.9247025557604909,0.035789197595892275,2
