feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag12,0.21838145115187818,0.13808553903991674,7
SP500_lag12,0.19054141608312927,0.07026770975972489,7
DPCERA3M086SBEA_lag12,0.16617324351622828,0.07304377332060194,7
USREC_lag12,0.09301475931920986,0.06865273954418022,7
TB3MS_lag12,0.08887051838959219,0.061409062512044574,7
BUSLOANS_lag12,0.07106219696047002,0.04700066865831706,7
RPI_lag12,0.04687089151647963,0.039056996775993565,7
OILPRICEX_lag12,0.04619206873545734,0.031921631520270485,7
M2SL_lag12,0.04523376164174343,0.04180906876339689,7
CPIAUCSL_lag12,0.033659692685811766,0.028928899814063692,7
