feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag6,0.2360610766629618,0.10263835640397115,7
INDPRO_lag6,0.1712453506721206,0.08317251745291458,7
USREC_lag6,0.14550788271858012,0.14407854757547336,7
BUSLOANS_lag6,0.08991360274693364,0.07194429296795032,7
DPCERA3M086SBEA_lag6,0.07948953430769744,0.08095313865883001,7
M2SL_lag6,0.05776465234797956,0.06767047968870223,7
TB3MS_lag6,0.05700965878730122,0.03440376133754424,7
SP500_lag6,0.048844859084739914,0.03678663158468879,7
RPI_lag6,0.04399997190217038,0.050959435726354994,7
OILPRICEX_lag6,0.03718947504353592,0.05732704025470431,7
CPIAUCSL_lag6,0.03297393572597938,0.03082520708628845,7
