feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag24,0.3704241563552235,0.21298895519167865,4
UNRATE_lag24,0.1874443632332753,0.11737809711566417,4
USREC_lag24,0.16102798617295788,0.10139593071764039,4
DPCERA3M086SBEA_lag24,0.09299303256887523,0.15264755550590667,4
RPI_lag24,0.06512762188881122,0.10896363244868408,4
CPIAUCSL_lag24,0.03613973135329911,0.0600576628388642,4
INDPRO_lag24,0.029770944588463046,0.04613184816738115,4
BUSLOANS_lag24,0.025145510179311104,0.030833344708482282,4
SP500_lag24,0.022911042245528382,0.01375625392349711,4
M2SL_lag24,0.006333034098681183,0.008857469217083918,4
OILPRICEX_lag24,0.0026825773155740194,0.0005462245146311374,4
