feature,shap_share_mean,shap_share_std,n_windows
RPI_lag1,0.3431598629610013,0.03541958022771497,4
INDPRO_lag1,0.2280036989569496,0.04482290719943329,4
BUSLOANS_lag1,0.10013543371373619,0.00878657178072924,4
SP500_lag1,0.08629741957305243,0.010740131773498867,4
CPIAUCSL_lag1,0.07557390465752638,0.018524193589704325,4
DPCERA3M086SBEA_lag1,0.07471149008891222,0.020131818807443816,4
M2SL_lag1,0.055705745332228024,0.04530038617792341,4
USREC_lag1,0.032423348079099835,0.004201543966837318,4
OILPRICEX_lag1,0.002979798559532909,0.0010506292650519532,4
TB3MS_lag1,0.0010092980779611144,0.0002785886518040309,4
