feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag24,0.3581057993340008,0.015376597959637568,4
RPI_lag24,0.24147234387307653,0.020471286770751065,4
CPIAUCSL_lag24,0.14323919971932814,0.01118979063103972,4
BUSLOANS_lag24,0.09577743096748176,0.013130593561895297,4
INDPRO_lag24,0.09471927014797243,0.014570212878709831,4
M2SL_lag24,0.02786236978067257,0.02989526482542286,4
SP500_lag24,0.0219909985225538,0.0022509128662097926,4
USREC_lag24,0.009036809684967916,0.001212512522642551,4
TB3MS_lag24,0.004643359415900091,0.0005555501111839588,4
OILPRICEX_lag24,0.0016308457230036432,0.0005859365902273476,4
UNRATE_lag24,0.0015215728310423171,0.0004536192643147547,4
