feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.0082908605340704,0.0016660815171152255,2
UNRATE_lag24,1.0068174447135132,0.0005237502310133646,2
USREC_lag24,1.0009003289948735,0.0003258830983794425,2
INDPRO_lag24,1.0000010007479951,1.7965736531788679e-07,2
OILPRICEX_lag24,1.0000007384492413,1.2700168171564385e-06,2
RPI_lag24,1.000000377448199,3.758907329842742e-08,2
SP500_lag24,1.0000001520355521,8.087826999236825e-07,2
CPIAUCSL_lag24,1.0000000221612275,2.4394292919005522e-08,2
M2SL_lag24,1.0000000108800258,2.268880094913328e-08,2
BUSLOANS_lag24,0.999999993706606,2.0939207590053863e-09,2
DPCERA3M086SBEA_lag24,0.9999999363235528,6.593284085365525e-09,2
