feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.4421106868761331,0.06770108521860232,11
RPI_lag12,0.130403480000607,0.10693610074500849,11
INDPRO_lag12,0.12831792733133215,0.04309858066843078,11
SP500_lag12,0.1009050232338044,0.01454706432626836,11
BUSLOANS_lag12,0.07629713706200401,0.025271042008101322,11
CPIAUCSL_lag12,0.06362549496668558,0.04156092610991293,11
M2SL_lag12,0.02535852636011935,0.02033599697747494,11
USREC_lag12,0.025002192521419556,0.007900442878886712,11
TB3MS_lag12,0.004308658340498994,0.00042599398966912475,11
OILPRICEX_lag12,0.0036708733073958586,0.0009285491861256125,11
