feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag12,0.26799242424242425,0.16556139625453775,4
DPCERA3M086SBEA_lag12,0.19701340326340328,0.08319949249002316,4
SP500_lag12,0.1678904428904429,0.07725894834379933,4
USREC_lag12,0.12937791375291374,0.07093404562954447,4
TB3MS_lag12,0.05619900932400933,0.06188367859625016,4
RPI_lag12,0.043997668997669,0.04807162505243436,4
BUSLOANS_lag12,0.04297785547785548,0.0435786305686073,4
M2SL_lag12,0.039007867132867136,0.045296017558438394,4
OILPRICEX_lag12,0.029392482517482516,0.03086694140396052,4
CPIAUCSL_lag12,0.0261509324009324,0.0309670220340456,4
