feature,shap_share_mean,shap_share_std,n_windows
USREC_lag6,0.345556910775591,0.25006451365248517,4
INDPRO_lag6,0.2560317805808844,0.11192316861603338,4
BUSLOANS_lag6,0.14184712157952964,0.06727145734437809,4
M2SL_lag6,0.06537662641007161,0.033369771525315485,4
DPCERA3M086SBEA_lag6,0.06465056091683653,0.027330982009294215,4
RPI_lag6,0.05024885476212744,0.01942616143791527,4
CPIAUCSL_lag6,0.03199155142074893,0.01599615222229292,4
OILPRICEX_lag6,0.027744238584729214,0.011871959279833122,4
SP500_lag6,0.00930534533909181,0.009928607202740771,4
TB3MS_lag6,0.007247009630389468,0.005510968761292651,4
