feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.4051252467426445,0.05563743796842349,7
RPI_lag12,0.19107653698357047,0.08821100994844586,7
INDPRO_lag12,0.11245289514941167,0.046208894939385396,7
SP500_lag12,0.09165146461279025,0.005264446248833129,7
CPIAUCSL_lag12,0.08590378663416466,0.03415042685488186,7
BUSLOANS_lag12,0.06411092894311274,0.019799004018168944,7
M2SL_lag12,0.022485456377292833,0.022161581005260073,7
USREC_lag12,0.019871454552474712,0.0022649673695271377,7
TB3MS_lag12,0.00423988561698248,0.0003971334142239416,7
OILPRICEX_lag12,0.00308234438755581,0.0005101806502209297,7
