feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag36,0.6180116959064327,0.3820283925204623,6
CPIAUCSL_lag36,0.09213450292397661,0.09750979761347774,6
BUSLOANS_lag36,0.05985380116959064,0.0618218345664744,6
TB3MS_lag36,0.052076023391812866,0.057121579999848994,6
M2SL_lag36,0.047397660818713445,0.048004438838679754,6
DPCERA3M086SBEA_lag36,0.03573099415204678,0.03669445024020621,6
RPI_lag36,0.03301169590643275,0.03321808588374868,6
SP500_lag36,0.024736842105263158,0.025761412111044355,6
OILPRICEX_lag36,0.021403508771929827,0.022086690424689633,6
INDPRO_lag36,0.014532163742690058,0.016560268776998066,6
USREC_lag36,0.0011111111111111111,0.002484519974999766,6
