feature,ratio_mean,ratio_std,n_windows
USREC_lag1,1.0766651791468764,0.0031040079037650942,3
CPIAUCSL_lag1,1.0102204205504126,0.002063955501315953,3
INDPRO_lag1,1.0007574911896306,0.002941334081727688,3
DPCERA3M086SBEA_lag1,1.000470742499594,0.0003030390318919344,3
TB3MS_lag1,0.9999577220858838,8.196188143804775e-05,3
M2SL_lag1,0.9968360753488752,0.0010928186286986235,3
RPI_lag1,0.9952577807625455,0.010860076765971774,3
OILPRICEX_lag1,0.9918542560676648,0.0008517024312323757,3
BUSLOANS_lag1,0.9866039287939353,0.005792988769250095,3
SP500_lag1,0.9678520845887878,0.0058034963706801255,3
