feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.44118683239278816,0.20189221348996908,4
SP500_lag12,0.27054826021885114,0.10642057806910396,4
TB3MS_lag12,0.08407477274489683,0.060310863381280354,4
DPCERA3M086SBEA_lag12,0.06437951139679665,0.05820171809353629,4
INDPRO_lag12,0.06151869575962532,0.049995243682802004,4
RPI_lag12,0.03731921376687994,0.032891672810115444,4
BUSLOANS_lag12,0.026160283436752425,0.02878678450460142,4
OILPRICEX_lag12,0.009817419048988531,0.0033772424605325972,4
CPIAUCSL_lag12,0.002543393318870843,0.0018352083761909728,4
M2SL_lag12,0.002451617915550118,0.001799455903923663,4
