feature,shap_share_mean,shap_share_std,n_windows
CPIAUCSL_lag36,0.1831223189376362,0.03736200436022687,6
TB3MS_lag36,0.15084241231513115,0.045934140747815905,6
RPI_lag36,0.13788717149269739,0.05285939707119599,6
DPCERA3M086SBEA_lag36,0.1235034650653079,0.08198004162138971,6
M2SL_lag36,0.11243164979016916,0.07146200095429485,6
SP500_lag36,0.09082563690285339,0.061643738908114476,6
BUSLOANS_lag36,0.08043174245164361,0.05737465490335844,6
OILPRICEX_lag36,0.052208886867183994,0.04564634363923609,6
INDPRO_lag36,0.038865509767098544,0.031672399800680026,6
USREC_lag36,0.029881206410278683,0.032820206570208045,6
