feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.3952369476482065,0.21970806079588256,12
SP500_lag12,0.2629708157349017,0.1392695338785884,12
DPCERA3M086SBEA_lag12,0.09995485264215177,0.13519834802956315,12
INDPRO_lag12,0.07333281322707695,0.06511165342775696,12
TB3MS_lag12,0.07202561658950311,0.06276444461535867,12
RPI_lag12,0.03743065103419534,0.033517843384829396,12
BUSLOANS_lag12,0.03601294066914423,0.03551079866396607,12
OILPRICEX_lag12,0.014825018327295431,0.012802591361824966,12
M2SL_lag12,0.005752120514387886,0.00799162804498569,12
CPIAUCSL_lag12,0.002458223613137027,0.002050741782747941,12
